quantity,unit_kind,unit_label,lead_days,n_matchups,n_events,event_rate,mean_model_prob,calibration_gap,prob_sep_event_minus_nonevent,auc,auc_se,auc_ci_low,auc_ci_high,auc_beats_random,auc_pr,auc_pr_baseline,auc_pr_lift,f1_max,f1_max_pp,mcc_max,mcc_max_pp,opt_pp_far_pod,POD_faropt,FAR_faropt,FOR_faropt,POFD_faropt,accuracy_faropt,opt_pp_for_pod,POD_foropt,FAR_foropt,FOR_foropt,POFD_foropt,accuracy_foropt,max_accuracy
pn,station,Morro Bay Front Bay,0,144,36,0.25,0.906,0.656,0.018,0.583,0.056,0.473,0.694,False,0.368,0.25,1.47,0.415,0.825,0.215,0.979,0.926,0.722,0.745,0.238,0.704,0.403,0.981,0.25,0.55,0.218,0.102,0.736,0.757
pn,station,Morro Bay Front Bay,1,147,40,0.272,0.891,0.619,0.023,0.599,0.054,0.494,0.705,False,0.444,0.272,1.632,0.463,0.967,0.294,0.983,0.857,0.725,0.739,0.306,0.766,0.367,0.981,0.25,0.474,0.234,0.084,0.735,0.735
pn,station,Morro Bay Front Bay,2,144,38,0.264,0.906,0.642,0.006,0.535,0.055,0.427,0.643,False,0.298,0.264,1.128,0.427,0.605,0.155,0.965,0.859,0.737,0.75,0.312,0.792,0.347,0.974,0.342,0.698,0.248,0.283,0.618,0.736
pn,station,Morro Bay Front Bay,3,143,36,0.252,0.893,0.641,0.005,0.506,0.056,0.396,0.616,False,0.296,0.252,1.177,0.419,0.925,0.205,0.993,0.815,0.778,0.763,0.32,0.841,0.315,0.967,0.222,0.771,0.259,0.252,0.615,0.755
pn,station,Newport Beach Pier,0,140,47,0.336,0.795,0.459,0.051,0.601,0.052,0.5,0.703,True,0.437,0.336,1.301,0.525,0.864,0.248,0.967,0.884,0.596,0.569,0.253,0.398,0.6,0.953,0.319,0.531,0.296,0.183,0.65,0.664
pn,station,Newport Beach Pier,1,130,43,0.331,0.752,0.421,0.044,0.576,0.054,0.47,0.682,False,0.382,0.331,1.155,0.511,0.637,0.182,0.855,0.78,0.628,0.63,0.281,0.529,0.523,0.19,0.977,0.674,1.0,1.0,0.323,0.669
pn,station,Newport Beach Pier,2,138,49,0.355,0.734,0.378,0.045,0.548,0.052,0.447,0.65,False,0.384,0.355,1.08,0.541,0.333,0.158,0.333,0.727,0.612,0.625,0.328,0.562,0.5,0.899,0.327,0.579,0.33,0.247,0.601,0.645
pn,station,Newport Beach Pier,3,129,46,0.357,0.76,0.403,0.078,0.589,0.053,0.485,0.693,False,0.401,0.357,1.125,0.558,0.581,0.221,0.817,0.85,0.565,0.567,0.29,0.41,0.581,0.916,0.283,0.618,0.347,0.253,0.581,0.643
pn,station,Santa Monica Pier,0,157,34,0.217,0.843,0.626,0.022,0.575,0.057,0.464,0.687,False,0.295,0.217,1.362,0.393,0.908,0.184,0.958,0.833,0.794,0.757,0.152,0.683,0.42,0.968,0.176,0.739,0.209,0.138,0.713,0.783
pn,station,Santa Monica Pier,1,158,32,0.202,0.857,0.654,-0.015,0.532,0.058,0.419,0.646,False,0.24,0.203,1.184,0.352,0.928,0.194,0.974,0.731,0.812,0.807,0.261,0.865,0.272,0.151,0.969,0.803,1.0,1.0,0.196,0.797
pn,station,Santa Monica Pier,2,160,36,0.225,0.842,0.617,0.043,0.563,0.056,0.454,0.672,False,0.291,0.225,1.294,0.395,0.682,0.147,0.992,0.829,0.75,0.755,0.18,0.669,0.425,0.964,0.25,0.743,0.216,0.21,0.669,0.775
pn,station,Santa Monica Pier,3,154,36,0.234,0.845,0.611,0.057,0.594,0.056,0.485,0.703,False,0.287,0.234,1.229,0.431,0.828,0.193,0.828,0.86,0.722,0.726,0.169,0.585,0.487,0.965,0.167,0.684,0.222,0.11,0.721,0.766
pn,station,Scripps Pier,0,154,63,0.409,0.724,0.315,0.004,0.533,0.048,0.439,0.626,False,0.479,0.409,1.171,0.583,0.263,0.181,0.818,0.743,0.571,0.556,0.37,0.495,0.532,0.799,0.365,0.5,0.37,0.253,0.591,0.617
pn,station,Scripps Pier,1,152,58,0.382,0.73,0.348,0.022,0.551,0.048,0.456,0.646,False,0.442,0.382,1.159,0.567,0.435,0.179,0.93,0.769,0.552,0.556,0.325,0.426,0.566,0.2,0.983,0.623,1.0,1.0,0.375,0.645
pn,station,Scripps Pier,2,155,65,0.419,0.719,0.3,0.018,0.511,0.047,0.419,0.604,False,0.483,0.419,1.151,0.602,0.521,0.193,0.926,0.694,0.615,0.596,0.446,0.656,0.458,0.16,0.985,0.584,1.0,1.0,0.413,0.613
pn,station,Scripps Pier,3,149,57,0.383,0.724,0.342,0.014,0.501,0.049,0.405,0.597,False,0.366,0.383,0.957,0.564,0.369,0.139,0.697,0.735,0.614,0.598,0.355,0.565,0.503,0.759,0.404,0.652,0.41,0.467,0.483,0.617
pn,station,Stearns Wharf,0,154,34,0.221,0.895,0.674,0.006,0.488,0.056,0.378,0.597,False,0.227,0.221,1.026,0.371,0.681,0.077,0.681,0.897,0.765,0.783,0.235,0.783,0.338,0.969,0.206,0.837,0.243,0.3,0.591,0.779
pn,station,Stearns Wharf,1,153,36,0.235,0.898,0.663,0.027,0.492,0.055,0.384,0.6,False,0.268,0.235,1.139,0.398,0.603,0.146,0.999,0.893,0.778,0.752,0.2,0.726,0.392,0.968,0.222,0.789,0.243,0.256,0.621,0.765
pn,station,Stearns Wharf,2,157,39,0.248,0.882,0.634,-0.022,0.496,0.053,0.391,0.6,False,0.258,0.248,1.038,0.404,0.331,0.08,0.331,0.921,0.744,0.736,0.213,0.686,0.42,0.975,0.179,0.767,0.252,0.195,0.65,0.752
pn,station,Stearns Wharf,3,149,37,0.248,0.897,0.648,0.007,0.502,0.055,0.395,0.61,False,0.277,0.248,1.114,0.404,0.442,0.152,0.991,0.933,0.757,0.731,0.2,0.679,0.43,0.973,0.297,0.784,0.265,0.357,0.557,0.752
pn,station,Tomales Bay Mid-Channel Buoy,0,29,0,0.0,0.956,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mid-Channel Buoy,1,29,0,0.0,0.942,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mid-Channel Buoy,2,31,0,0.0,0.948,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mid-Channel Buoy,3,27,0,0.0,0.959,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mouth,0,29,0,0.0,0.943,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mouth,1,29,0,0.0,0.933,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mouth,2,31,0,0.0,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Tomales Bay Mouth,3,26,0,0.0,0.898,0.898,,,,,,,,,,,,,,,,,,,,,,,,,,
